algorithm,bytedmd_opt,static_opt_lb,split_lb,space_dmd,copy_space_dmd,bytedmd_live,manual,bytedmd_classic
naive_matmul(n=16),111132,75671,75739,80501,80501,109217,177744,181258
"naive_2d_tiled_matmul(n=16,T=4)",95315,88791,66090,91253,78824,95634,177744,163817
naive_tiled_matmul(n=16),111132,75671,75739,80501,80501,109217,161084,181258
naive_matmul_cached(n=16),111132,75671,75739,80501,80501,109217,114838,181258
tiled_matmul(n=16),79329,94537,54559,95487,63385,78708,67758,143812
"tiled_matmul_explicit(n=16,T=4)",104522,75034,70853,75564,75563,99006,67758,201547
rmm(n=16),84470,110833,58538,110373,73658,83196,106835,151375
naive_strassen(n=16),184965,145059,126377,138024,134549,175157,251486,343737
fused_strassen(n=16),184965,145059,126377,138024,134549,175157,135740,343737
"naive_attn(N=64,d=2)",902309,878493,604300,819378,819378,898030,532805,1873534
"flash_attn(N=64,d=2,Bk=8)",472668,330267,316249,356727,356336,476067,610154,842854
matvec_row(n=64),229752,212304,212325,217272,217272,229527,218552,266353
matvec_col(n=64),229667,212183,212354,213631,213631,229716,217952,270193
"matvec_blocked(n=64,B=8)",215068,203485,203470,207429,207429,214377,208832,250463
fft_iterative(N=256),46033,39049,31828,40200,40200,47088,55516,71317
fft_recursive(N=256),31665,27237,23418,29450,29450,33110,52704,62417
stencil_naive(32x32),63959,58041,51576,63617,58290,65937,78968,109401
"stencil_recursive(32x32,leaf=8)",59543,51529,48222,55205,53710,58764,78968,101657
"spatial_conv(32x32,K=5)",402797,312818,271160,345962,320715,402858,595987,681253
"regular_conv(16x16,K=3,Cin=4,Cout=4)",780684,684503,512738,730755,570512,778473,648300,1290500
fft_conv(N=256),145693,121959,100439,124470,124470,148641,91922,233158
quicksort(N=64),2767,2791,2030,2470,2131,2852,4718,4292
heapsort(N=64),4912,3584,3471,3755,3748,4696,5523,7889
mergesort(N=64),3030,2261,2168,2572,2572,3148,3386,4411
lcs_dp(32x32),30878,25098,20449,26583,25267,29980,27192,44575
lu_no_pivot(n=32),407900,600081,272888,482165,343120,407042,405592,705126
"blocked_lu(n=32,NB=8)",283615,420494,191053,366551,224610,283294,250767,515134
recursive_lu(n=32),306483,415862,206172,399746,239100,304365,355751,546679
lu_partial_pivot(n=32),421434,632866,280724,511270,345768,420780,440237,730673
cholesky(n=32),177026,245659,122626,186117,142407,176313,251039,293328
householder_qr(32x32),605281,762977,403490,783709,664410,605876,768959,1131740
"blocked_qr(32x32,NB=8)",609805,548829,400674,556886,508166,610248,554900,1068832
"tsqr(64x16,br=8)",269835,364696,187802,381777,259344,267962,315433,546266
transpose_naive(n=32),44704,38614,38614,44704,44704,44704,44704,62799
transpose_blocked(n=32),44704,38573,38573,43298,43298,43873,44704,62341
transpose_recursive(n=32),44704,38441,38441,41440,41440,42513,44704,61688
"stencil_time_naive(16x16,T=4)",54764,55543,36241,52470,43730,55466,67258,88017
"stencil_time_diamond(16x16,T=4)",233883,206570,154373,199327,179285,230387,136095,414232
floyd_warshall_naive(V=16),104594,88583,69686,96230,87214,104528,85514,168288
floyd_warshall_recursive(V=16),49073,48816,36176,49359,42788,47495,63334,95871
layernorm_unfused(N=256),19050,16213,13575,16823,15710,19022,14571,30891
layernorm_fused(N=256),14721,13167,11211,13485,13811,15172,15329,24400
"matrix_powers_naive(n=16,s=4)",24227,17239,17030,18390,18390,24085,27198,37513
"matrix_powers_ca(n=16,s=4)",24533,17442,17209,18604,18604,24377,27198,38702
cholesky_left_looking(n=32),195661,214439,134615,212130,150927,190103,257289,352335
"spmv_csr_banded(n=32,bw=3)",4128,2923,2942,2340,2340,4219,6190,7164
"spmv_csr_random(n=32,nnz=7)",4960,3640,3496,3159,3155,4984,6676,8649
bitonic_sort(N=64),12746,9012,9096,9351,9351,13418,17384,20363
